Conference,Year,"City, Country",Starting date,Ending date,Remark
SYNASCSymbolic and Numeric Algorithms for Scientific Computing,2024,"Timişoara, Romania",16 September 2024,19 September 2024,
"SPLASHSystems, Programming, Languages, and Applications: Software for Humanity",2024,"Pasadena, California, USA",20 October 2024,25 October 2024,co-located withSAS
ALENEXAlgorithm Engineering and Experiments,2025,"New Orleans, Lousiana, USA",12 January 2025,13 January 2025,"call posted in June 2024;
	      co-located withSODA"
SOSASymposium on Simplicity in Algorithms,2025,"New Orleans, Lousiana, USA",13 January 2025,14 January 2025,"call posted in June 2024;
	      co-located withSODA"
SOFSEMCurrent Trends in Theory and Practice of Computer Science,2025,"Bratislava, Slovakia",20 January 2025,23 January 2025,
STACSSymposium on Theoretical Aspects of Computer Science,2025,"Jena, Germany",4 March 2025,7 March 2025,LIPIcsproceedings
"ICALPInternational Colloquium on Automata, Languages and Programming",2025,"Aarhus, Denmark",7 July 2025,11 July 2025,
Conference,Year,"City, Country",Starting date,Ending date,Remark
